unique.id,x.distance,run.dist,direction,datetime,duration,detection,detection.1,datetime.1,detection.2,datetime.2,detection.3,datetime.3,detection.4,datetime.4
RM-14-7,3,20,2,25-03-2022 12:59:00,8.66,1,12:59:07,25-03-2022 12:59:07,,,,,,
RM-14-7,3,20,,25-03-2022 13:00:00,9.5,0,,,,,,,,
RM-14-7,3,20,2,25-03-2022 13:01:00,8.87,1,13:01:05,25-03-2022 13:01:05,,,,,,
RM-14-7,5,20,,25-03-2022 13:02:00,11.3,1,13:02:06,25-03-2022 13:02:06,13:02:08,25-03-2022 13:02:08,,,,
RM-14-7,5,20,2,25-03-2022 13:03:00,10.33,1,13:03:06,25-03-2022 13:03:06,,,,,,
RM-14-7,5,20,,25-03-2022 13:04:00,10.33,1,13:04:07,25-03-2022 13:04:07,,,,,,
RM-14-7,5,20,2,25-03-2022 13:05:00,9.93,1,13:05:05,25-03-2022 13:05:05,13:05:06,25-03-2022 13:05:06,,,,
RM-14-7,5,20,,25-03-2022 13:06:00,10.23,1,13:06:05,25-03-2022 13:06:05,,,,,,
RM-14-7,5,20,2,25-03-2022 13:07:00,9.84,1,13:07:06,25-03-2022 13:07:06,,,,,,
RM-14-7,10,20,,25-03-2022 13:08:00,10.52,1,13:08:04,25-03-2022 13:08:04,13:08:06,25-03-2022 13:08:06,,,,
RM-14-7,10,20,2,25-03-2022 13:09:00,9.42,1,13:09:06,25-03-2022 13:09:06,13:09:08,25-03-2022 13:09:08,,,,
RM-14-7,10,20,,25-03-2022 13:10:00,10.49,1,13:10:04,25-03-2022 13:10:04,13:10:06,25-03-2022 13:10:06,,,,
RM-14-7,10,20,2,25-03-2022 13:11:00,9.46,1,13:11:07,25-03-2022 13:11:07,13:11:09,25-03-2022 13:11:09,,,,
RM-14-7,10,20,,25-03-2022 13:12:00,10.84,1,13:12:04,25-03-2022 13:12:04,13:12:06,25-03-2022 13:12:06,,,,
RM-14-7,10,20,2,25-03-2022 13:13:00,10.05,1,13:13:05,25-03-2022 13:13:05,13:13:09,25-03-2022 13:13:09,,,,
RM-14-7,12,20,,25-03-2022 13:14:00,10.79,1,13:14:04,25-03-2022 13:14:04,13:14:06,25-03-2022 13:14:06,,,,
RM-14-7,12,20,2,25-03-2022 13:15:00,10.77,1,13:15:06,25-03-2022 13:15:06,13:15:08,25-03-2022 13:15:08,,,,
RM-14-7,12,20,,25-03-2022 13:16:00,11.4,1,13:16:02,25-03-2022 13:16:02,13:16:04,25-03-2022 13:16:04,13:16:06,25-03-2022 13:16:06,,
RM-14-7,12,20,2,25-03-2022 13:17:00,10.72,1,13:17:06,25-03-2022 13:17:06,13:17:08,25-03-2022 13:17:08,,,,
RM-14-7,12,20,,25-03-2022 13:18:00,11.41,1,13:18:05,25-03-2022 13:18:05,13:18:07,25-03-2022 13:18:07,,,,
RM-14-7,12,20,2,25-03-2022 13:19:00,10.98,1,13:19:06,25-03-2022 13:19:06,13:19:08,25-03-2022 13:19:08,13:19:10,25-03-2022 13:19:10,,
RM-14-7,15,20,,25-03-2022 13:20:00,12.38,1,13:20:05,25-03-2022 13:20:05,13:20:07,25-03-2022 13:20:07,13:20:09,25-03-2022 13:20:09,,
RM-14-7,15,20,2,25-03-2022 13:21:00,11.33,1,13:21:06,25-03-2022 13:21:06,13:21:08,25-03-2022 13:21:08,,,,
RM-14-7,15,20,,25-03-2022 13:22:00,12.98,1,13:22:04,25-03-2022 13:22:04,13:22:06,25-03-2022 13:22:06,13:22:08,25-03-2022 13:22:08,13:22:10,25-03-2022 13:22:10
RM-14-7,15,20,2,25-03-2022 13:23:00,10.43,1,13:23:04,25-03-2022 13:23:04,13:23:08,25-03-2022 13:23:08,,,,
RM-14-7,15,20,,25-03-2022 13:24:00,11.75,1,13:24:04,25-03-2022 13:24:04,13:24:06,25-03-2022 13:24:06,13:24:08,25-03-2022 13:24:08,,
RM-14-7,15,20,2,25-03-2022 13:25:00,10.31,1,13:25:05,25-03-2022 13:25:05,,,,,,
RM-14-7,20,20,,25-03-2022 13:26:00,12,1,13:26:07,25-03-2022 13:26:07,13:26:09,25-03-2022 13:26:09,,,,
RM-14-7,20,20,2,25-03-2022 13:27:00,11.28,0,,,,,,,,
